step,simulated_time_sec,dopamine_level,toxicity,control_signal_u,friction_delay_applied
0,8.262919261317043,0.0,0.5457075619631647,0.0,0.0
1,16.923919713576574,1.0,0.44182779714606246,0.24291033292690634,0.0
2,23.70671031855623,1.0,0.7114992121431504,0.26420065276612453,0.0
3,29.98199642341614,1.0,0.5640078882901269,0.20336959582222847,0.0
4,36.00021173825208,1.0,0.25711331907732915,0.0914229424996197,0.0
5,46.324737229582894,1.0,0.5048080582716329,0.2294115549878338,0.0
6,67.91373371176994,1.0,0.40643085023240877,0.1860867082610387,0.0
7,73.6488091653491,1.0,0.4771733128995569,0.23731085827828377,0.0
8,80.97684882047166,1.0,0.5411283464643142,0.2765715041669789,0.0
9,94.33231685535772,1.0,0.5121822653374161,0.27657972068097436,0.0
10,127.7061747336154,1.0,0.39154790734380485,0.2380106619727977,0.0
11,173.9107460527866,0.95,0.9357962306979095,0.43346458620271566,1.083661465506789
12,189.3443481962442,1.0,0.7045535449138709,0.3538363375970319,0.8845908439925798
13,198.33735052727533,1.0,0.5866332086187496,0.3126423622681604,0.781605905670401
14,215.44242422723005,0.95,0.9479787142671161,0.42983467566391326,1.074586689159783
15,224.49181046868858,1.0,0.5174503850315628,0.2761523619614022,0.0
16,272.9759228825279,1.0,0.7485005008658909,0.39336763355106624,0.9834190838776656
17,284.9263214955214,1.0,0.567759342252878,0.30604029850691467,0.7651007462672866
18,307.824290736892,0.95,0.8971705585568883,0.41349798759639533,1.0337449689909883
19,315.879543037468,0.9025,0.8240177679129158,0.3302079231852907,0.8255198079632267
20,649.2324524147778,0.9707444984968105,0.8649605865993971,0.4150665183715178,1.0376662959287946
21,654.6133016340945,1.0,0.5087317821324717,0.2966044299531383,0.0
22,1276.2278594887553,1.0,0.932902571150477,0.4904289556146881,1.2260723890367202
23,1313.3596210235373,1.0,1.0,0.5253516362108765,1.3133790905271914
24,1330.518087005979,1.0,1.0,0.5186465887976,1.2966164719939999
25,1339.8111852685322,0.95,0.9625230223142129,0.46152090632025317,1.1538022658006328
26,1362.5044001873982,0.9025,0.9645723667631299,0.43108501425628215,1.0777125356407053
27,1386.7098032117794,1.0,0.9805765474537013,0.5263916569324946,1.3159791423312364
28,1406.178170058831,1.0,0.8982470253544441,0.480240003892719,1.2006000097317975
29,1440.068429708381,1.0,0.943910510386795,0.5051886105241504,1.262971526310376
30,1450.4651061994095,0.95,0.8682773885853516,0.4302959528633794,1.0757398821584485
31,1473.2359636416093,0.9025,0.9626809353651662,0.4408714777877855,1.1021786944694638
32,1482.7824768450926,1.0,0.606913651615349,0.37448870451425414,0.9362217612856354
33,1502.5283072660875,0.95,0.9511607247818581,0.48704484363941525,1.2176121090985381
34,1521.5078650571818,1.0,0.8404519898866996,0.468845493554521,1.1721137338863024
35,1530.757130660678,0.95,0.8527934924028157,0.43350930851327096,1.0837732712831774
36,1567.32864680756,0.9025,0.951503716062565,0.4406661145322385,1.1016652863305962
37,1593.3341549257193,1.0,0.9239941229980404,0.5126172597842544,1.281543149460636
38,1608.4703714371874,1.0,0.7856665990429271,0.4455478089416468,1.113869522354117
39,1619.6405674856715,1.0,0.5734310658852759,0.3653007439154224,0.9132518597885559
40,1636.3351120690152,0.95,0.9445145135035108,0.49235699913289516,1.230892497832238
41,1750.3578048120282,1.0,0.9202970891639709,0.5087035749127121,1.2717589372817804
42,1791.8020275655383,1.0,0.7382347062035074,0.43347904400834,1.08369761002085
43,1801.8484968502664,1.0,0.43473346525061485,0.3182366129452459,0.7955915323631148
44,1821.3391425722696,0.95,0.8831475854880099,0.4829945516964925,1.2074863792412314
45,1843.9900053570718,1.0,0.9031584080447458,0.5134304577395543,1.2835761443488858
46,1852.7262872417657,0.95,0.927265034585424,0.47538470556117274,1.1884617639029318
47,1861.0961738691915,0.9025,0.9152092553576756,0.4352600889183226,1.0881502222958064
48,1885.3516621112512,0.8573749999999999,0.8685597652864606,0.3845549307643533,0.9613873269108832
49,1907.115724370926,1.0,0.9429540924827011,0.5450152104137659,1.3625380260344147
50,1957.7670740404435,1.0,0.8209995194339432,0.47316446675022183,1.1829111668755545
51,1970.4479518163714,0.95,0.9199268539939223,0.482496372651501,1.2062409316287526
52,1983.3720546727989,1.0,0.7950489187182035,0.4723943315751521,1.1809858289378803
53,2005.6703488923574,0.95,0.8292905621232914,0.4468447041604918,1.1171117604012295
54,2019.4754526181632,0.9025,0.8713425877933723,0.42961253009080924,1.074031325227023
55,2048.6331079519396,0.8573749999999999,0.8151040957532907,0.37181488953718544,0.9295372238429636
56,2062.742851630422,1.0,0.6397632939267082,0.4281756806895416,1.070439201723854
57,2074.0559052267995,0.95,0.7221358037215923,0.4146932166197701,1.0367330415494251
58,2113.3527956267562,1.0,0.503090706538285,0.3662340113743189,0.9155850284357971
59,2138.8203989212766,0.95,0.8998828461466591,0.49998323198308114,1.2499580799577028
60,2160.3726726972927,0.9025,0.783237587884107,0.39431414945231935,0.9857853736307984
61,2168.7714126862993,0.8573749999999999,0.8881212575602648,0.4140878826056705,1.0352197065141762
62,2190.5077211646576,0.9379260263361419,0.8173724997274285,0.4514340900069064,1.1285852250172659
63,2214.438043616452,1.0,0.43015444927107616,0.3365883039607308,0.841470759901827
64,2227.2118425588324,1.0,0.42579331285521416,0.35162065469589215,0.8790516367397304
65,2242.7093057808743,0.95,0.8093575588809712,0.4714643896942162,1.1786609742355405
66,2273.7608151921627,1.0,0.44611943554106986,0.34459947456407475,0.8614986864101869
67,2285.294346871812,0.95,0.914473545232965,0.5165977702769683,1.2914944256924208
68,2349.8498394727203,0.9025,0.8538549094102645,0.42950472044507765,1.0737618011126941
69,2366.006275363333,0.8573749999999999,0.7359532477614843,0.3546800289725202,0.8867000724313006
70,2376.947640527183,1.0,0.5465372638337904,0.40777896770798894,1.0194474192699723
71,2391.1954187541332,0.95,0.928135380942015,0.5207477886717443,1.3018694716793608
72,2414.8480730065753,0.9025,0.7774687335778336,0.4013296362887748,1.0033240907219372
73,2430.67294531676,1.0,0.6831225157171364,0.45946511845535615,1.1486627961383904
74,2439.5197468962533,1.0,0.6127148150226969,0.42450000132362115,1.0612500033090528
75,2457.3538094736045,0.95,0.7819977649643312,0.45816480410926474,1.1454120102731618
76,2474.6930916019405,1.0,0.7055419755234992,0.46475559285474305,1.1618889821368577
77,2482.3428423966657,0.95,0.930145268680407,0.5164432930679906,1.2911082326699765
78,2529.939793027964,0.9025,0.8116465761118318,0.41956585921780953,1.0489146480445237
79,2541.1879019491394,0.8573749999999999,0.8237257925268376,0.4019553768782587,1.0048884421956468
80,2568.6425032719962,0.9959641038535424,0.7915752819910895,0.5097879219780379,1.2744698049450949
81,2596.400099653261,1.0,0.5141219043598867,0.38328624690077917,0.9582156172519479
82,2618.1350137322206,0.95,0.6414552233280825,0.41216505134583725,1.0304126283645931
83,2633.648318067937,1.0,0.553476281575365,0.4164952803913928,1.041238200978482
84,2639.4471738937154,1.0,0.1589918396562675,0.2507339454851353,0.0
85,3279.3398194358692,0.95,0.8011574011571986,0.5022983158784109,1.2557457896960273
86,3285.7075940027435,1.0,0.2428344493781537,0.2803695641220317,0.0
87,3292.083948792729,1.0,0.07344068295388508,0.2362750198779425,0.0
88,3319.6828502592684,1.0,0.038379247843276704,0.23171284311694315,0.0
89,3328.8107346312395,1.0,0.2881949073593127,0.33873910622031467,0.8468477655507867
90,3348.663324402974,0.95,0.7037554543641003,0.45628559639136324,1.140713990978408
91,3353.722251640869,1.0,0.0,0.18377467273815398,0.0
92,3998.4329902162594,0.95,0.7870276760211782,0.5085516239288946,1.2713790598222365
93,4015.4625619569965,1.0,0.28523157480928835,0.29857560085863033,0.0
94,4030.65572200344,0.95,0.7256713710185765,0.4656680813392448,1.164170203348112
95,4036.530518419098,1.0,0.0,0.1824597177388854,0.0
96,4041.7992194482113,1.0,0.1344866953255912,0.27648441203674823,0.0
97,4047.36995346821,1.0,0.0,0.21193079828046452,0.0
98,4059.14214945873,1.0,0.0,0.21999999999999997,0.0
99,4071.167471567357,1.0,0.0,0.21999999999999997,0.0
100,4076.777190004529,0.95,0.21031886927904989,0.2663339250972009,0.0
101,4456.862296987743,0.9025,0.7148005317959947,0.43169709119757466,1.0792427279939367
102,4488.233738898957,1.0,0.5181171520070387,0.40642117193519645,1.0160529298379912
103,4505.9655591449555,0.95,0.7490120815779318,0.461498045142309,1.1537451128557725
104,4529.834947817192,0.9025,0.7311819358126502,0.4062556881466372,1.015639220366593
105,4540.285924445805,1.0,0.44598052523986453,0.375140904451984,0.93785226112996
106,4571.515420858008,0.95,0.7832046214188361,0.4801871094815191,1.2004677737037976
107,4582.528054816196,0.9025,0.7716529097409999,0.42120194480608963,1.0530048620152241
108,4603.161267700763,0.8573749999999999,0.7023172981434989,0.36056909063580944,0.9014227265895236
109,4611.3613884842125,1.0,0.45208974895002263,0.38485365667039956,0.9621341416759989
110,4620.13220817387,0.95,0.6905191965982023,0.4408926776342436,1.102231694085609
111,4626.320109270128,0.9025,0.7907706666481127,0.4347925281963151,1.0869813204907877
112,4996.797736381346,0.8573749999999999,0.8486649459982616,0.42088803732038305,1.0522200933009576
