step,simulated_time_sec,dopamine_level,toxicity,control_signal_u,friction_delay_applied
0,8.262919261317043,0.0,0.5457075619631647,0.0,0.0
1,16.923919713576574,1.0,0.44182779714606246,0.0,0.0
2,23.70671031855623,1.0,0.7114992121431504,0.0,0.0
3,29.98199642341614,1.0,0.5640078882901269,0.0,0.0
4,36.00021173825208,1.0,0.25711331907732915,0.0,0.0
5,46.324737229582894,1.0,0.5048080582716329,0.0,0.0
6,67.91373371176994,1.0,0.40643085023240877,0.0,0.0
7,73.6488091653491,1.0,0.4771733128995569,0.0,0.0
8,80.97684882047166,1.0,0.5411283464643142,0.0,0.0
9,94.33231685535772,1.0,0.5121822653374161,0.0,0.0
10,127.7061747336154,1.0,0.39154790734380485,0.0,0.0
11,133.8519172418103,0.95,0.9357962306979095,0.0,0.0
12,143.48421360938556,1.0,0.6286351320889787,0.0,0.0
13,157.37297163612234,1.0,0.7348829929640667,0.0,0.0
14,163.1855751394542,1.0,0.6527730800227816,0.0,0.0
15,169.57837064694667,1.0,0.5482079754935968,0.0,0.0
16,182.0767743632855,1.0,0.7467838968444204,0.0,0.0
17,190.80073125357586,1.0,0.5275566351485694,0.0,0.0
18,201.2025822862928,1.0,0.7268676688253132,0.0,0.0
19,238.6239914273403,1.0,0.4426207258558486,0.0,0.0
20,261.03242087020544,0.95,0.25042805480552327,0.0,0.0
21,268.9420774232913,0.9025,0.8562214879036447,0.0,0.0
22,276.61964680034674,1.0,0.7083204883990956,0.0,0.0
23,288.82453064662815,1.0,0.5802948309825773,0.0,0.0
24,379.84501265082906,1.0,0.7861385203393172,0.0,0.0
25,389.49671577880906,0.95,0.7850343118150804,0.0,0.0
26,405.4046667460213,1.0,0.8864054198599824,0.0,0.0
27,411.9611059815401,1.0,0.80749783924244,0.0,0.0
28,421.80523350702185,1.0,0.767535685681191,0.0,0.0
29,428.0107263125382,1.0,0.6368124954475511,0.0,0.0
30,433.17093157684496,1.0,0.8720830861317836,0.0,0.0
31,439.3606242770479,1.0,0.9431010970045364,0.0,0.0
32,445.50047479543946,1.0,1.0,0.0,0.0
33,463.76397271297606,1.0,0.658052538655539,0.0,0.0
34,472.3696012269346,1.0,0.9123535134494403,0.0,0.0
35,485.52745770272224,0.95,0.8961795052828085,0.0,0.0
36,499.04915848823026,1.0,0.6863071828844151,0.0,0.0
37,505.41175281955316,1.0,0.9796425176865711,0.0,0.0
38,517.242417042071,1.0,0.7603584125273465,0.0,0.0
39,523.2118334434018,1.0,0.7766512846504553,0.0,0.0
40,540.6082153915213,1.0,0.6416050032582596,0.0,0.0
41,550.7151657128825,1.0,0.7495570435940743,0.0,0.0
42,556.0857423717607,1.0,0.9823643025919127,0.0,0.0
43,575.8094690118271,1.0,0.9173926254612553,0.0,0.0
44,582.6189119418787,1.0,0.580686637976101,0.0,0.0
45,660.3228939857704,1.0,0.7850375500164435,0.0,0.0
46,665.5239709492333,1.0,0.7026598936175764,0.0,0.0
47,670.9484347105828,1.0,0.7600503494515356,0.0,0.0
48,681.477681348683,1.0,0.6927584920250938,0.0,0.0
49,686.6065765228983,1.0,0.826318589981338,0.0,0.0
50,692.8064175972462,1.0,0.9030887760921273,0.0,0.0
51,702.388364371104,1.0,0.9278874466118849,0.0,0.0
52,711.290167480832,1.0,0.9925862811247321,0.0,0.0
53,719.1999991237446,1.0,1.0,0.0,0.0
54,740.3809941613256,1.0,0.8603894595446353,0.0,0.0
55,745.8603545185935,1.0,0.7526236774183355,0.0,0.0
56,753.4914428295879,1.0,1.0,0.0,0.0
57,764.2717668493337,1.0,0.9004384679298738,0.0,0.0
58,786.9861859896855,1.0,0.9257544070070396,0.0,0.0
59,809.3650607801875,1.0,1.0,0.0,0.0
60,823.8090834154182,0.95,0.8455385130630887,0.0,0.0
61,850.5238191853861,1.0,0.719395810965394,0.0,0.0
62,863.3917091336156,0.95,0.8169055329622866,0.0,0.0
63,877.137361779627,1.0,0.6491598974633956,0.0,0.0
64,888.5171522362625,0.95,1.0,0.0,0.0
65,913.136408541132,1.0,0.9196453351775771,0.0,0.0
66,919.2567318396278,0.95,0.8755539687585419,0.0,0.0
67,992.1750494250871,1.0,0.9253786178325049,0.0,0.0
68,999.9245229500343,1.0,0.7914568071793757,0.0,0.0
69,1007.6243571594038,0.95,0.821625525837949,0.0,0.0
70,1057.273216118303,1.0,1.0,0.0,0.0
71,1067.2804450966025,1.0,0.8765907771547706,0.0,0.0
72,1075.5560318558532,0.95,0.9861416912341279,0.0,0.0
73,1087.2774373516243,1.0,1.0,0.0,0.0
74,1102.7702212251875,1.0,1.0,0.0,0.0
75,1111.3170673146558,1.0,0.9965644296140963,0.0,0.0
76,1119.0177384077745,1.0,0.8090363323975593,0.0,0.0
77,1125.9419951460345,1.0,0.8135657152409272,0.0,0.0
78,1133.4432463038056,1.0,0.7723265695758595,0.0,0.0
79,1141.6260545819493,1.0,0.9398681652526066,0.0,0.0
80,1147.519577544357,1.0,0.8015210568629177,0.0,0.0
81,1171.0312646390832,1.0,0.7389849011767131,0.0,0.0
82,1191.3357963200633,1.0,0.683227029202493,0.0,0.0
83,1200.3950533771776,0.95,1.0,0.0,0.0
84,1205.8126881964624,1.0,0.795985907262902,0.0,0.0
85,1214.6744729704064,1.0,0.8188879106562856,0.0,0.0
86,1242.0010041713213,1.0,0.9207003642925162,0.0,0.0
87,1284.3025890361641,1.0,0.6787395987959701,0.0,0.0
88,1292.44239530471,0.95,0.8622668159838653,0.0,0.0
89,1298.3399677832433,0.9025,0.8983206585896922,0.0,0.0
90,1306.8581993521539,1.0,0.938066173508382,0.0,0.0
91,1313.1505567901581,1.0,0.8399896792389465,0.0,0.0
92,1325.423070942394,1.0,0.9001859038174158,0.0,0.0
93,1331.1466923021835,1.0,0.9621607338412899,0.0,0.0
94,1339.3950437220303,1.0,1.0,0.0,0.0
95,1346.5830935345566,1.0,1.0,0.0,0.0
96,1354.1636472942553,1.0,0.7162447253839737,0.0,0.0
97,1368.2449232649758,1.0,0.7470981602968028,0.0,0.0
98,1373.9970945564737,1.0,0.6880683733683346,0.0,0.0
99,1470.2288295460553,1.0,0.8554111851023777,0.0,0.0
100,1475.5523874023218,1.0,1.0,0.0,0.0
101,1504.2147545433868,0.95,0.9217692801371887,0.0,0.0
102,1519.0547459370978,1.0,0.7290604804749483,0.0,0.0
103,1524.9525951692588,1.0,0.9842148297423532,0.0,0.0
104,1529.9733661485873,1.0,1.0,0.0,0.0
105,1536.942058069514,1.0,0.9386428667048138,0.0,0.0
106,1544.427376600319,1.0,0.919658998575777,0.0,0.0
107,1557.3848271531083,1.0,0.8297130007124259,0.0,0.0
108,1565.5191958641803,1.0,0.9394418671382828,0.0,0.0
109,1572.2325253507033,1.0,0.736122442237975,0.0,0.0
110,1580.6661753482103,1.0,0.7686805579014133,0.0,0.0
111,1588.9034717052073,1.0,1.0,0.0,0.0
112,1596.9236369213606,1.0,1.0,0.0,0.0
113,1602.186096702308,1.0,0.9149555418959312,0.0,0.0
114,1612.2459903939653,1.0,0.6668368130970639,0.0,0.0
115,1619.0530719526178,1.0,0.9423263657999243,0.0,0.0
116,1628.1991606886172,1.0,0.6242829194578718,0.0,0.0
117,1634.9264199766903,1.0,0.6710358645341686,0.0,0.0
118,1677.3459239510394,1.0,0.9763715406523189,0.0,0.0
119,1683.8898115423556,1.0,1.0,0.0,0.0
120,1689.8751461398303,1.0,0.808541077761216,0.0,0.0
121,1695.0061230402227,1.0,1.0,0.0,0.0
122,1730.9268826033476,1.0,0.6804712880629831,0.0,0.0
123,1737.3898265408855,1.0,0.9740781963581115,0.0,0.0
124,1745.8897807297828,1.0,0.8826381209257236,0.0,0.0
125,1752.2949234998184,1.0,0.7563276838501051,0.0,0.0
126,1758.7472116030165,1.0,0.8627938653912252,0.0,0.0
127,1764.7485420314401,1.0,0.8713044991575105,0.0,0.0
128,1780.363984350005,1.0,0.9765649481259743,0.0,0.0
129,1792.21957851089,1.0,0.8666428752042801,0.0,0.0
130,1833.6976442905038,0.95,0.8952105657416849,0.0,0.0
