step,simulated_time_sec,velocity_clicks_per_min,toxicity,expected_reward,rpe,dopamine_level,dopamine_baseline,tolerance,risk_index,control_signal_u,intervention_type,interaction_type
0,8.302482301052754,21.680263019311226,0.09910743465762584,0.1876654046102952,-0.12334595389704806,0.0,0.2,0.1876654046102952,0.034650975718276786,0.046929112751156354,none,click
1,46.05937224746413,1.5891139361626032,0.06934056194157291,0.17256453148836465,-0.1510087312193055,0.0,0.2,0.17256453148836465,0.0,0.028585363433468357,none,click
2,74.91429947907532,6.238102718304766,0.1445085485348449,0.16331326860605852,-0.09251262882306124,0.0,0.2,0.16331326860605852,0.045428106830810444,0.18288030880500233,none,click
3,83.5836808655876,27.68363615579186,0.09353747381346367,0.15511926995559983,-0.08193998650458686,0.0,0.2,0.15511926995559983,0.04355100698697752,0.21933961125172133,none,click
4,94.0232874474083,17.2420290543753,0.10491314409799066,0.1470082537967363,-0.08111016158863538,0.0,0.2,0.1470082537967363,0.0,0.19677306996269012,none,click
5,114.1689109935796,11.913257460110346,0.10596182488736042,0.13909467684394447,-0.07913576952791815,0.0,0.2,0.13909467684394447,0.0,0.19760741188248654,none,click
6,120.26008318217657,29.550962347932067,0.11980694768145955,0.1348694268371145,-0.042252500068299614,0.0,0.2,0.1348694268371145,0.05709881654787946,0.2304242138049596,none,click
7,128.6492220184711,7.1521047834394835,0.030825292067596058,0.12381776185471279,-0.11051664982401713,0.0,0.2,0.12381776185471279,0.03067391561936069,0.21470697894190444,none,click
8,135.67814450995556,42.68079500996773,0.0,0.11677108504548747,-0.07046676809225312,0.0,0.2,0.11677108504548747,0.01484174350417337,0.20697038529034614,none,click
9,145.35241905085326,24.80806172963227,0.09050298020284563,0.11272013326728504,-0.040509517782024315,0.0,0.2,0.11272013326728504,0.008494369155811792,0.20411596286569322,none,click
10,174.97677806648244,6.0760808328388105,0.02461972757519687,0.10343861642342123,-0.0928151684386381,0.0,0.2,0.10343861642342123,0.0,0.1999426528070948,none,click
11,181.75247684636363,26.56552568931589,0.0,0.0964154454922436,-0.07023170931177636,0.0,0.2,0.0964154454922436,0.0,0.2,none,click
12,190.89140728472583,19.695959085586168,0.01889062233238584,0.0901804269453368,-0.06235018546906797,0.0,0.2,0.0901804269453368,0.0034770782919081606,0.20181463291459278,none,click
13,199.81368948826102,20.174210576827587,0.043306256034431584,0.08584947337462814,-0.043309535707086524,0.0,0.2,0.08584947337462814,0.024258664906057832,0.2125951681246672,none,click
14,229.75412685380815,8.015914967099688,0.04216450854879822,0.0803747408354927,-0.05474732539135442,0.0,0.2,0.0803747408354927,0.016209333039089256,0.208050897553055,none,click
15,236.2873656239969,27.551419186046385,0.0051020126096997034,0.07603629478068422,-0.04338446054808487,0.0,0.2,0.07603629478068422,0.004321247248302361,0.2017966973631049,none,click
16,243.96474728893787,7.8151644165343646,0.0,0.06940956085468258,-0.06626733926001627,0.0,0.2,0.06940956085468258,0.0,0.19988742914090007,none,click
17,259.56127491038234,3.8470101458675305,0.011789608305166588,0.0635389614527061,-0.058705994019764875,0.0,0.2,0.0635389614527061,0.0,0.2,none,click
18,267.28446318533094,38.84406145750683,0.0373612703516279,0.06390863650720524,0.003696750544991398,0.009241876362478495,0.2,0.06390863650720524,0.019915038407534634,0.21047323985432123,none,click
19,273.17631743150355,20.367102610855063,0.0,0.0600636606828416,-0.03844975824363641,0.0,0.2,0.0600636606828416,0.0,0.1993239806154244,none,click
20,341.5929509188186,0.8769797188446061,0.07549548552704477,0.057941691355765254,-0.021219693270763458,0.0,0.2,0.057941691355765254,0.05749189996541265,0.22891401408359804,none,click
21,346.74064323334494,23.311416585907853,0.11929740188243823,0.06102631938754912,0.030846280317838676,0.07711570079459669,0.2,0.06102631938754912,0.07200470200345033,0.23656620762528768,none,click
22,367.8826150659852,5.675913341949342,0.17367763169742093,0.06431705820140893,0.032907388138598025,0.08226847034649507,0.2,0.06431705820140893,0.07252471929303998,0.23626727893497337,none,click
23,375.6010015381721,31.094581861744786,0.23277020853628588,0.07341068554080042,0.090936273393915,0.22734068348478748,0.2,0.07341068554080042,0.18725637316609384,0.29660113058595444,none,click
24,386.06662310369455,11.46611304915934,0.19978830565348693,0.07749229640053965,0.04081610859739222,0.10204027149348055,0.2,0.07749229640053965,0.1227195848486717,0.26012648223987384,none,click
25,391.58995917476415,43.45200018827092,0.1612643409795757,0.08323778383299833,0.057454874324586874,0.14363718581146717,0.2,0.08323778383299833,0.1385881968579352,0.26986870087231274,none,click
26,404.4800433430379,9.309481492398234,0.22046763316467427,0.087101072294482,0.03863288461483659,0.09658221153709148,0.2,0.087101072294482,0.14107554258027272,0.2705763644550818,none,click
27,418.2614876970671,13.061040292730581,0.13519393163544402,0.08678329168339732,-0.0031778061108467537,0.0,0.2,0.08678329168339732,0.0779258597506,0.23804648481762056,none,click
