step,simulated_time_sec,velocity_clicks_per_min,toxicity,expected_reward,rpe,dopamine_level,dopamine_baseline,tolerance,risk_index,control_signal_u,intervention_type,interaction_type,lambda_intensity,alpha1_effective,alpha2,decay_factor
59,1266.9830736871363,156.21018643758597,0.9005164044406617,0.6027272706962375,0.05260246601030716,0.3289042567267841,0.2,0.6027272706962375,0.43452326608372294,0.5279569948180466,break,click,0.30002041319603817,0.37777370492418727,0.3,0.6743471617439971
60,1284.9389846399363,133.6607207681519,0.8477045924356206,0.6005270930603714,-0.01179907351823739,0.5352735324001953,0.2,0.6005270930603714,0.6563866288231276,0.5927092499622404,break,click,0.3036284169272458,0.33653445222994066,0.3,0.6242734018249195
61,1305.937740356386,85.71936472359388,0.847683861575947,0.5875606973638998,-0.06953595636790555,0.3958417041255277,0.2,0.5875606973638998,0.5645334767470179,0.5179164947950238,break,click,0.30007415227840323,0.4132197074346985,0.3,0.7665367954905424
62,1316.4225634616146,228.90228818483052,0.9194387228093818,0.6170764445302823,0.1582865242718292,0.7194232924355974,0.2,0.6170764445302823,0.5184238703540731,0.4577331747546566,break,click,0.3227059150338469,0.4594670814904721,0.3,0.8092407831827455
63,1335.4185876170854,221.09889762329124,0.9508012404060772,0.6421935930628344,0.1346977977018703,1.0,0.2,0.6421935930628344,0.9339967633611422,0.7282958137358604,break,click,0.3013052231887847,0.2542770769053184,0.3,0.4381666313473558
64,1345.5653033618994,118.2648681779948,0.9174866193013014,0.6355516679029218,-0.03561919818969028,0.9043056815041778,0.2,0.6355516679029218,0.924705933479912,0.7485756377199327,break,click,0.4471121370847795,0.25005779613917617,0.3,0.44102320391291083
65,1361.6765276212636,186.2055888308012,0.856671956347197,0.6403143629436489,0.02554129630917812,0.8033661816623485,0.2,0.6403143629436489,0.7505451034141677,0.6811595425329096,break,click,0.3123770160950344,0.33268026228099284,0.3,0.6130447760870756
66,1439.958239893494,45.987752381817266,0.9017270765196654,0.6157065887210236,-0.13196613420654457,0.8419742992324365,0.2,0.6157065887210236,0.8795941848668158,0.6440644389495436,break,click,0.3000000000000004,0.42453237788812315,0.3,0.7571594802573667
67,1474.7683728866004,275.78176739230304,0.9363189412677515,0.6524748337974543,0.19718009115323099,1.0,0.2,0.6524748337974543,0.7473516390535596,0.5948510784697146,break,click,0.30000052809873634,0.5540894419616026,0.3,0.9644261905237799
68,1498.1785738574083,281.9283784974793,0.6240701735748715,0.654707019556414,0.011970726111830587,1.0,0.2,0.654707019556414,0.8418421029201133,0.5543001130762428,break,click,0.30041152363808277,0.4496280694299486,0.3,1.0
