step,simulated_time_sec,dopamine_level,toxicity,control_signal_u,friction_delay_applied
68,1498.1785738574083,1.0,0.6240701735748715,0.5543001130762428,0.0
69,1505.4414860987247,1.0,0.7619054765763592,0.5085218647563077,0.0
70,1512.1486686157668,1.0,0.967238017005245,0.5378962588561458,0.0
71,1523.4614799376195,1.0,0.9824386671628056,0.5901260020598847,0.0
72,1545.189367851094,0.9043056815041778,0.9427053924101827,0.6461012573555878,1.6152531433889694
73,1563.238035830328,0.6687457539921505,0.8369916566357334,0.6688905812273287,1.6722264530683217
74,1571.3904369921054,0.49454613924203666,0.8949007537723865,0.7085174171924375,1.7712935429810939
75,1604.7624527243286,0.5305692428260141,0.9042435363706242,0.7285539666919386,1.8213849167298466
76,1609.7673131374022,0.7079438024840452,1.0,0.8262185825397109,2.0655464563492774
77,1618.9889749842087,0.5235336033594031,0.8469695300670032,0.7862387061572524,1.9655967653931312
78,1628.3225418771738,0.3871598746747386,0.9148608374963779,0.7830185350705843,1.9575463376764608
79,1652.5914856965703,0.4829763308404729,0.9142757281364915,0.7196724776725963,1.7991811941814908
80,1664.9877739655572,0.7376552450030659,0.827365589814578,0.790169556749791,1.9754238918744773
81,1673.2272759472814,0.5455055995947106,0.9685890932388868,0.7317031779179729,1.8292579447949322
82,1712.511397237768,0.782618601691187,0.8404609579413135,0.7068134806429999,1.7670337016074997
83,1732.351420906177,0.9043056815041778,0.8462974632639166,0.7047409547747041,1.7618523869367602
84,1759.7117983038756,1.0,0.9048559879863545,0.6409419564123339,1.6023548910308347
85,1842.0755376852128,1.0,1.0,0.6095268234064889,1.5238170585162223
86,1847.4328512740856,1.0,0.8524234889674493,0.5554045669797547,0.0
87,1853.182257882985,1.0,0.8808298906968095,0.5667218381065399,0.0
88,1901.8430109218496,0.9043056815041778,0.7751891658478169,0.6135739223336427,1.533934805834107
89,1915.5859133795118,0.6687457539921505,0.7010478823031638,0.6483397536923683,1.6208493842309206
90,1930.6835492952762,0.49454613924203666,0.9896119154379688,0.6930505163919431,1.7326262909798578
91,1989.0197709216734,0.5308663369331448,0.859085656655193,0.707813662244565,1.7695341556114124
92,2077.238953799881,0.708749794151104,0.7807098102739748,0.8054194967104441,2.0135487417761104
93,2090.143431704475,0.5241296446274419,0.7866216328909073,0.7814279599719377,1.9535698999298443
94,2097.781368299962,0.3876006549057574,0.8684819760167379,0.7653181133914985,1.9132952834787462
95,2123.4721532432172,0.42725057631032715,0.7794858339043744,0.7094529349953901,1.7736323374884753
96,2133.568962711153,0.5858239703500586,0.7679007345465594,0.8609582868943146,2.1523957172357866
97,2154.113534478883,0.43322440715707844,0.8273613362574107,0.8145654788998554,2.0364136972496385
98,2163.8191316545544,0.3203750554017993,0.7899009571771198,0.7603418073783207,1.9008545184458017
99,2170.5832547749833,0.23692149940779006,0.8983819751973876,0.7051930395387249,1.7629825988468122
100,2178.8659741018073,0.17520651478698182,0.7778319403483439,0.5817264555658472,1.454316138914618
101,2185.1481564584055,0.14873148246880427,0.8831386571950312,0.45876907044920173,1.1469226761230042
102,2199.602278073356,0.14436120381902887,0.9183296723270686,0.3371617181362447,0.8429042953406117
103,2208.8818133003897,1.0,0.8567322605955905,0.1354888759830494,0.0
104,2242.702506583684,1.0,0.7665479432460429,0.5091257795144966,1.2728144487862414
105,2281.8933358979884,0.9043056815041778,0.7605187118447604,0.7522082332496168,1.8805205831240421
106,2315.901755498906,0.8438100895191211,0.7936694725785574,0.9384692179676124,2.346173044919031
107,2333.8655507266653,1.0,0.8425907598291201,0.9672642320190955,2.4181605800477386
108,2345.6976235927164,0.9043056815041778,0.9105689308990743,0.9755502173510282,2.4388755433775704
